"time","area","value"
"2025-01-02 14:00:00.000 +0000",SE3,127.82
"2025-01-02 14:00:00.000 +0000",SE2,5.2
"2025-01-02 14:00:00.000 +0000",NO3,16.3
"2025-01-02 15:00:00.000 +0000",SE3,135.32
"2025-01-02 15:00:00.000 +0000",SE2,5.55
"2025-01-02 15:00:00.000 +0000",NO3,15.31
"2025-01-02 16:00:00.000 +0000",SE3,150.01
"2025-01-02 16:00:00.000 +0000",SE2,5.4
"2025-01-02 16:00:00.000 +0000",NO3,14.88
"2025-01-02 17:00:00.000 +0000",SE3,147.02
"2025-01-02 17:00:00.000 +0000",SE2,5.33
"2025-01-02 17:00:00.000 +0000",NO3,16.06
"2025-01-02 18:00:00.000 +0000",SE3,108.33
"2025-01-02 18:00:00.000 +0000",SE2,5.39
"2025-01-02 18:00:00.000 +0000",NO3,16.29
"2025-01-02 19:00:00.000 +0000",SE3,103.54
"2025-01-02 19:00:00.000 +0000",SE2,5.38
"2025-01-02 19:00:00.000 +0000",NO3,15.95
"2025-01-02 20:00:00.000 +0000",SE3,76.35
"2025-01-02 20:00:00.000 +0000",SE2,5.34
"2025-01-02 20:00:00.000 +0000",NO3,19.99
"2025-01-02 21:00:00.000 +0000",SE3,61.86
"2025-01-02 21:00:00.000 +0000",SE2,7.28
"2025-01-02 21:00:00.000 +0000",NO3,10.48
"2025-01-02 22:00:00.000 +0000",SE3,49.16
"2025-01-02 22:00:00.000 +0000",SE2,7.44
"2025-01-02 22:00:00.000 +0000",NO3,9.64
"2025-01-02 23:00:00.000 +0000",SE3,43.01
"2025-01-02 23:00:00.000 +0000",SE2,5.69
"2025-01-02 23:00:00.000 +0000",NO3,9.56
"2025-01-03 00:00:00.000 +0000",SE3,38.15
"2025-01-03 00:00:00.000 +0000",SE2,5.98
"2025-01-03 00:00:00.000 +0000",NO3,9.9
"2025-01-03 01:00:00.000 +0000",SE3,35.22
"2025-01-03 01:00:00.000 +0000",SE2,6.39
"2025-01-03 01:00:00.000 +0000",NO3,9.96
"2025-01-03 02:00:00.000 +0000",SE3,33.43
"2025-01-03 02:00:00.000 +0000",SE2,9.1
"2025-01-03 02:00:00.000 +0000",NO3,8.95
"2025-01-03 03:00:00.000 +0000",SE3,29.73
"2025-01-03 03:00:00.000 +0000",SE2,14.43
"2025-01-03 03:00:00.000 +0000",NO3,8.83
"2025-01-03 04:00:00.000 +0000",SE3,30.58
"2025-01-03 04:00:00.000 +0000",SE2,15.7
"2025-01-03 04:00:00.000 +0000",NO3,9.1
"2025-01-03 05:00:00.000 +0000",SE3,38.36
"2025-01-03 05:00:00.000 +0000",SE2,16.65
"2025-01-03 05:00:00.000 +0000",NO3,10.54
"2025-01-03 06:00:00.000 +0000",SE3,52.32
"2025-01-03 06:00:00.000 +0000",SE2,16.5
"2025-01-03 06:00:00.000 +0000",NO3,15.07
"2025-01-03 07:00:00.000 +0000",SE3,80.9
"2025-01-03 07:00:00.000 +0000",SE2,16.58
"2025-01-03 07:00:00.000 +0000",NO3,16.0
"2025-01-03 08:00:00.000 +0000",SE3,80.17
"2025-01-03 08:00:00.000 +0000",SE2,24.2
"2025-01-03 08:00:00.000 +0000",NO3,10.81
"2025-01-03 09:00:00.000 +0000",SE3,76.13
"2025-01-03 09:00:00.000 +0000",SE2,15.3
"2025-01-03 09:00:00.000 +0000",NO3,18.62
"2025-01-03 10:00:00.000 +0000",SE3,68.57
"2025-01-03 10:00:00.000 +0000",SE2,19.45
"2025-01-03 10:00:00.000 +0000",NO3,20.0
"2025-01-03 11:00:00.000 +0000",SE3,55.04
"2025-01-03 11:00:00.000 +0000",SE2,13.23
"2025-01-03 11:00:00.000 +0000",NO3,25.02
"2025-01-03 12:00:00.000 +0000",SE3,53.49
"2025-01-03 12:00:00.000 +0000",SE2,14.11
"2025-01-03 12:00:00.000 +0000",NO3,31.04
"2025-01-03 13:00:00.000 +0000",SE3,53.96
"2025-01-03 13:00:00.000 +0000",SE2,11.36
"2025-01-03 13:00:00.000 +0000",NO3,26.95
"2025-01-03 14:00:00.000 +0000",SE3,73.75
"2025-01-03 14:00:00.000 +0000",SE2,12.28
"2025-01-03 14:00:00.000 +0000",NO3,24.19
"2025-01-03 15:00:00.000 +0000",SE3,100.74
"2025-01-03 15:00:00.000 +0000",SE2,13.46
"2025-01-03 15:00:00.000 +0000",NO3,10.77
"2025-01-03 16:00:00.000 +0000",SE3,106.39
"2025-01-03 16:00:00.000 +0000",SE2,9.45
"2025-01-03 16:00:00.000 +0000",NO3,14.22
"2025-01-03 17:00:00.000 +0000",SE3,109.22
"2025-01-03 17:00:00.000 +0000",SE2,9.05
"2025-01-03 17:00:00.000 +0000",NO3,16.01
"2025-01-03 18:00:00.000 +0000",SE3,101.27
"2025-01-03 18:00:00.000 +0000",SE2,7.49
"2025-01-03 18:00:00.000 +0000",NO3,12.02
"2025-01-03 19:00:00.000 +0000",SE3,84.49
"2025-01-03 19:00:00.000 +0000",SE2,5.91
"2025-01-03 19:00:00.000 +0000",NO3,32.01
"2025-01-03 20:00:00.000 +0000",SE3,81.62
"2025-01-03 20:00:00.000 +0000",SE2,5.93
"2025-01-03 20:00:00.000 +0000",NO3,17.23
"2025-01-03 21:00:00.000 +0000",SE3,68.11
"2025-01-03 21:00:00.000 +0000",SE2,5.38
"2025-01-03 21:00:00.000 +0000",NO3,20.0
"2025-01-03 22:00:00.000 +0000",SE3,68.6
"2025-01-03 22:00:00.000 +0000",SE2,5.0
"2025-01-03 22:00:00.000 +0000",NO3,17.1
"2025-01-03 23:00:00.000 +0000",SE3,51.1
"2025-01-03 23:00:00.000 +0000",SE2,5.0
"2025-01-03 23:00:00.000 +0000",NO3,10.69
"2025-01-04 00:00:00.000 +0000",SE3,47.81
"2025-01-04 00:00:00.000 +0000",SE2,5.03
"2025-01-04 00:00:00.000 +0000",NO3,12.29
"2025-01-04 01:00:00.000 +0000",SE3,44.15
"2025-01-04 01:00:00.000 +0000",SE2,4.99
"2025-01-04 01:00:00.000 +0000",NO3,14.81
"2025-01-04 02:00:00.000 +0000",SE3,44.17
"2025-01-04 02:00:00.000 +0000",SE2,4.96
"2025-01-04 02:00:00.000 +0000",NO3,14.77
"2025-01-04 03:00:00.000 +0000",SE3,42.97
"2025-01-04 03:00:00.000 +0000",SE2,5.01
"2025-01-04 03:00:00.000 +0000",NO3,12.81
"2025-01-04 04:00:00.000 +0000",SE3,43.26
"2025-01-04 04:00:00.000 +0000",SE2,5.2
"2025-01-04 04:00:00.000 +0000",NO3,14.04
"2025-01-04 05:00:00.000 +0000",SE3,58.13
"2025-01-04 05:00:00.000 +0000",SE2,4.69
"2025-01-04 05:00:00.000 +0000",NO3,18.89
"2025-01-04 06:00:00.000 +0000",SE3,84.24
"2025-01-04 06:00:00.000 +0000",SE2,5.19
"2025-01-04 06:00:00.000 +0000",NO3,10.49
"2025-01-04 07:00:00.000 +0000",SE3,100.2
"2025-01-04 07:00:00.000 +0000",SE2,5.67
"2025-01-04 07:00:00.000 +0000",NO3,9.27
"2025-01-04 08:00:00.000 +0000",SE3,105.85
