"time","forecast"," "
2025-01-03 15:00:00,replan,68.4339
2025-01-03 16:00:00,dayahead,69.74432
2025-01-03 16:00:00,replan,65.58186
2025-01-03 17:00:00,dayahead,73.965164
2025-01-03 17:00:00,replan,76.1839
2025-01-03 18:00:00,dayahead,64.9239
2025-01-03 18:00:00,replan,91.89854
2025-01-03 19:00:00,dayahead,49.330376
2025-01-03 19:00:00,replan,92.1472
2025-01-03 20:00:00,dayahead,51.460205
2025-01-03 20:00:00,replan,93.86431
2025-01-03 21:00:00,dayahead,47.59643
2025-01-03 21:00:00,replan,85.046776
2025-01-03 22:00:00,dayahead,53.78504
2025-01-03 22:00:00,replan,81.84561
2025-01-03 23:00:00,dayahead,74.37958
2025-01-03 23:00:00,replan,89.24039
2025-01-04 00:00:00,dayahead,92.217766
2025-01-04 00:00:00,replan,93.6985
2025-01-04 01:00:00,dayahead,98.48898
2025-01-04 01:00:00,replan,103.186676
2025-01-04 02:00:00,dayahead,100.20039
2025-01-04 02:00:00,replan,104.60146
2025-01-04 03:00:00,dayahead,99.26359
2025-01-04 03:00:00,replan,105.59296
2025-01-04 04:00:00,dayahead,100.25365
2025-01-04 04:00:00,replan,106.50184
2025-01-04 05:00:00,dayahead,97.526024
2025-01-04 05:00:00,replan,102.56286
2025-01-04 06:00:00,dayahead,92.72539
2025-01-04 06:00:00,replan,102.622925
2025-01-04 07:00:00,dayahead,91.54036
2025-01-04 07:00:00,replan,99.89226
2025-01-04 08:00:00,dayahead,86.31674
2025-01-04 08:00:00,replan,92.36232
2025-01-04 09:00:00,dayahead,80.537224
2025-01-04 09:00:00,replan,89.36781
2025-01-04 10:00:00,dayahead,75.62548
2025-01-04 10:00:00,replan,84.14813
2025-01-04 11:00:00,dayahead,70.61193
2025-01-04 11:00:00,replan,79.98495
2025-01-04 12:00:00,dayahead,72.01726
2025-01-04 12:00:00,replan,82.44142
2025-01-04 13:00:00,dayahead,72.40963
2025-01-04 13:00:00,replan,83.2866
2025-01-04 14:00:00,dayahead,74.12299
2025-01-04 14:00:00,replan,84.5868
2025-01-04 15:00:00,dayahead,78.167595
2025-01-04 15:00:00,replan,85.445404
2025-01-04 16:00:00,dayahead,78.22968
2025-01-04 16:00:00,replan,87.68692
2025-01-04 17:00:00,dayahead,71.76814
2025-01-04 17:00:00,replan,84.35695
2025-01-04 18:00:00,dayahead,67.949326
2025-01-04 18:00:00,replan,77.984375
2025-01-04 19:00:00,dayahead,67.1692
2025-01-04 19:00:00,replan,73.07911
2025-01-04 20:00:00,dayahead,65.4388
2025-01-04 20:00:00,replan,71.597244
2025-01-04 21:00:00,dayahead,64.202835
2025-01-04 21:00:00,replan,71.19755
2025-01-04 22:00:00,dayahead,61.437756
2025-01-04 22:00:00,replan,71.93311
2025-01-04 23:00:00,dayahead,47.723663
2025-01-04 23:00:00,replan,67.938896
2025-01-05 00:00:00,dayahead,44.225773
2025-01-05 00:00:00,replan,66.22287
2025-01-05 01:00:00,dayahead,43.13459
2025-01-05 01:00:00,replan,62.617157
2025-01-05 02:00:00,dayahead,43.861134
2025-01-05 02:00:00,replan,63.127766
2025-01-05 03:00:00,dayahead,44.422886
2025-01-05 03:00:00,replan,65.94359
2025-01-05 04:00:00,dayahead,44.034954
2025-01-05 05:00:00,dayahead,36.288677
2025-01-05 05:00:00,replan,65.12751
2025-01-05 06:00:00,dayahead,28.21079
2025-01-05 06:00:00,replan,55.233006
2025-01-05 07:00:00,dayahead,21.147316
2025-01-05 07:00:00,replan,51.155952
2025-01-05 08:00:00,dayahead,20.50553
2025-01-05 08:00:00,replan,39.453793
2025-01-05 09:00:00,dayahead,16.66491
2025-01-05 09:00:00,replan,36.203136
2025-01-05 10:00:00,dayahead,12.0025
2025-01-05 10:00:00,replan,32.005375
2025-01-05 11:00:00,dayahead,9.351893
2025-01-05 11:00:00,replan,26.337837
2025-01-05 12:00:00,dayahead,6.7333517
2025-01-05 12:00:00,replan,27.040388
2025-01-05 13:00:00,dayahead,4.4794087
2025-01-05 13:00:00,replan,21.757996
2025-01-05 14:00:00,dayahead,4.524769
2025-01-05 14:00:00,replan,22.755713
2025-01-05 15:00:00,dayahead,4.7994137
2025-01-05 15:00:00,replan,13.06485
2025-01-05 16:00:00,dayahead,2.517156
2025-01-05 16:00:00,replan,6.5794997
2025-01-05 17:00:00,dayahead,0.77471626
2025-01-05 17:00:00,replan,3.3975153
2025-01-05 18:00:00,dayahead,2.4310987
2025-01-05 18:00:00,replan,3.0570621
2025-01-05 19:00:00,dayahead,3.7164059
2025-01-05 19:00:00,replan,4.075534
2025-01-05 20:00:00,dayahead,7.0809846
2025-01-05 20:00:00,replan,3.6070104
2025-01-05 21:00:00,dayahead,10.265056
2025-01-05 21:00:00,replan,1.9016552
2025-01-05 22:00:00,dayahead,12.7471285
2025-01-05 22:00:00,replan,4.344426
2025-01-05 23:00:00,dayahead,3.4165804
2025-01-05 23:00:00,replan,2.089945
2025-01-06 00:00:00,dayahead,2.7689128
2025-01-06 00:00:00,replan,3.217605
2025-01-06 01:00:00,dayahead,2.7401826
2025-01-06 01:00:00,replan,5.1488175
2025-01-06 02:00:00,dayahead,2.6823947
2025-01-06 02:00:00,replan,5.570806
2025-01-06 03:00:00,dayahead,1.6788627
2025-01-06 03:00:00,replan,0.98831576
2025-01-06 04:00:00,dayahead,1.1143574
2025-01-06 04:00:00,replan,0.8234985
2025-01-06 05:00:00,dayahead,2.6556592
2025-01-06 05:00:00,replan,3.2933996
2025-01-06 06:00:00,dayahead,5.733588
2025-01-06 06:00:00,replan,8.721514
2025-01-06 07:00:00,dayahead,11.961577
2025-01-06 07:00:00,replan,12.98257
2025-01-06 08:00:00,dayahead,19.185402
2025-01-06 08:00:00,replan,20.281733
2025-01-06 09:00:00,dayahead,27.828657
2025-01-06 09:00:00,replan,30.026413
2025-01-06 10:00:00,dayahead,34.5468
2025-01-06 10:00:00,replan,47.065567
2025-01-06 11:00:00,dayahead,54.515633
2025-01-06 11:00:00,replan,59.371155
2025-01-06 12:00:00,dayahead,65.76172
2025-01-06 12:00:00,replan,69.39348
2025-01-06 13:00:00,dayahead,71.45457
2025-01-06 13:00:00,replan,78.066895
2025-01-06 14:00:00,dayahead,80.53748
2025-01-06 14:00:00,replan,78.875595
2025-01-06 15:00:00,dayahead,83.35496
2025-01-06 15:00:00,replan,89.96707
2025-01-06 16:00:00,dayahead,83.06378
2025-01-06 16:00:00,replan,88.69414
2025-01-06 17:00:00,dayahead,82.919624
2025-01-06 17:00:00,replan,96.52941
2025-01-06 18:00:00,dayahead,86.69175
2025-01-06 18:00:00,replan,101.2834
2025-01-06 19:00:00,dayahead,89.28939
2025-01-06 19:00:00,replan,101.98638
2025-01-06 20:00:00,dayahead,86.56436
2025-01-06 20:00:00,replan,103.125786
2025-01-06 21:00:00,dayahead,84.85513
2025-01-06 21:00:00,replan,105.73031
2025-01-06 22:00:00,dayahead,84.00211
2025-01-06 22:00:00,replan,104.34905
2025-01-06 23:00:00,dayahead,86.67334
2025-01-06 23:00:00,dayahead,86.22009
2025-01-06 23:00:00,replan,102.3438
2025-01-07 00:00:00,dayahead,84.986725
2025-01-07 00:00:00,dayahead,84.53767
2025-01-07 00:00:00,replan,98.340034
2025-01-07 01:00:00,dayahead,79.22021
2025-01-07 01:00:00,dayahead,78.94997
2025-01-07 01:00:00,replan,96.42003
2025-01-07 02:00:00,dayahead,74.82351
2025-01-07 02:00:00,dayahead,74.49832
2025-01-07 02:00:00,replan,90.468925
2025-01-07 03:00:00,dayahead,68.96899
2025-01-07 03:00:00,dayahead,68.56643
2025-01-07 03:00:00,replan,77.700165
2025-01-07 04:00:00,dayahead,43.281315
2025-01-07 04:00:00,dayahead,42.88098
2025-01-07 04:00:00,replan,65.56019
2025-01-07 05:00:00,dayahead,17.284903
2025-01-07 05:00:00,dayahead,17.163857
2025-01-07 05:00:00,replan,39.325138
2025-01-07 06:00:00,dayahead,12.16488
2025-01-07 06:00:00,dayahead,12.0777235
2025-01-07 06:00:00,replan,18.927446
2025-01-07 07:00:00,dayahead,27.699093
2025-01-07 07:00:00,dayahead,27.478537
2025-01-07 07:00:00,replan,22.531967
2025-01-07 08:00:00,dayahead,48.569775
2025-01-07 08:00:00,dayahead,48.205315
2025-01-07 08:00:00,replan,41.27584
2025-01-07 09:00:00,dayahead,50.85186
2025-01-07 09:00:00,dayahead,50.477352
2025-01-07 09:00:00,replan,45.01869
2025-01-07 10:00:00,dayahead,48.292614
2025-01-07 10:00:00,dayahead,47.891804
