"time","park","label","value"
2025-01-01 20:00:00,trattberget,ws_meteomatics_replan,12.1
2025-01-01 20:00:00,trattberget,ws_arome_dayahead,7.9083323
2025-01-01 20:00:00,trattberget,ws_meteomatics_dayahead,10.0
2025-01-01 21:00:00,trattberget,ws_arome_replan,10.824709
2025-01-01 21:00:00,trattberget,ws_meteomatics_replan,12.0
2025-01-01 21:00:00,trattberget,ws_arome_dayahead,7.639042
2025-01-01 21:00:00,trattberget,ws_meteomatics_dayahead,10.4
2025-01-01 22:00:00,trattberget,ws_arome_replan,11.391022
2025-01-01 22:00:00,trattberget,ws_meteomatics_replan,12.0
2025-01-01 22:00:00,trattberget,ws_arome_dayahead,6.888021
2025-01-01 22:00:00,trattberget,ws_meteomatics_dayahead,10.7
2025-01-01 23:00:00,trattberget,ws_arome_replan,10.607382
2025-01-01 23:00:00,trattberget,ws_meteomatics_replan,11.9
2025-01-01 23:00:00,trattberget,ws_arome_dayahead,11.206012
2025-01-01 23:00:00,trattberget,ws_meteomatics_dayahead,10.8
2025-01-02 00:00:00,trattberget,ws_arome_replan,9.967526
2025-01-02 00:00:00,trattberget,ws_meteomatics_replan,12.7
2025-01-02 00:00:00,trattberget,ws_arome_dayahead,10.045105
2025-01-02 00:00:00,trattberget,ws_meteomatics_dayahead,10.6
2025-01-02 01:00:00,trattberget,ws_arome_replan,10.285496
2025-01-02 01:00:00,trattberget,ws_meteomatics_replan,11.9
2025-01-02 01:00:00,trattberget,ws_arome_dayahead,9.347805
2025-01-02 01:00:00,trattberget,ws_meteomatics_dayahead,10.2
2025-01-02 02:00:00,trattberget,ws_arome_replan,11.380665
2025-01-02 02:00:00,trattberget,ws_meteomatics_replan,11.4
2025-01-02 02:00:00,trattberget,ws_arome_dayahead,8.806818
2025-01-02 02:00:00,trattberget,ws_meteomatics_dayahead,10.0
2025-01-02 03:00:00,trattberget,ws_arome_replan,12.239621
2025-01-02 03:00:00,trattberget,ws_meteomatics_replan,12.1
2025-01-02 03:00:00,trattberget,ws_arome_dayahead,8.760335
2025-01-02 03:00:00,trattberget,ws_meteomatics_dayahead,9.8
2025-01-02 04:00:00,trattberget,ws_arome_replan,12.178756
2025-01-02 04:00:00,trattberget,ws_meteomatics_replan,11.6
2025-01-02 04:00:00,trattberget,ws_arome_dayahead,9.217745
2025-01-02 04:00:00,trattberget,ws_meteomatics_dayahead,9.9
2025-01-02 05:00:00,trattberget,ws_arome_replan,12.269023
2025-01-02 05:00:00,trattberget,ws_meteomatics_replan,11.6
2025-01-02 05:00:00,trattberget,ws_arome_dayahead,9.846603
2025-01-02 05:00:00,trattberget,ws_meteomatics_dayahead,9.7
2025-01-02 06:00:00,trattberget,ws_arome_replan,12.321583
2025-01-02 06:00:00,trattberget,ws_meteomatics_replan,12.0
2025-01-02 06:00:00,trattberget,ws_arome_dayahead,10.387839
2025-01-02 06:00:00,trattberget,ws_meteomatics_dayahead,10.2
2025-01-02 07:00:00,trattberget,ws_arome_replan,12.549478
2025-01-02 07:00:00,trattberget,ws_meteomatics_replan,12.0
2025-01-02 07:00:00,trattberget,ws_arome_dayahead,10.221695
2025-01-02 07:00:00,trattberget,ws_meteomatics_dayahead,9.6
2025-01-02 08:00:00,trattberget,ws_arome_replan,12.600479
2025-01-02 08:00:00,trattberget,ws_meteomatics_replan,11.8
2025-01-02 08:00:00,trattberget,ws_arome_dayahead,9.8564625
2025-01-02 08:00:00,trattberget,ws_meteomatics_dayahead,9.6
2025-01-02 09:00:00,trattberget,ws_arome_replan,12.920643
2025-01-02 09:00:00,trattberget,ws_meteomatics_replan,12.0
2025-01-02 09:00:00,trattberget,ws_arome_dayahead,10.387033
2025-01-02 09:00:00,trattberget,ws_meteomatics_dayahead,9.0
2025-01-02 10:00:00,trattberget,ws_arome_replan,12.4971
2025-01-02 10:00:00,trattberget,ws_meteomatics_replan,12.2
2025-01-02 10:00:00,trattberget,ws_arome_dayahead,11.873907
2025-01-02 10:00:00,trattberget,ws_meteomatics_dayahead,10.5
2025-01-02 11:00:00,trattberget,ws_arome_replan,11.223666
2025-01-02 11:00:00,trattberget,ws_meteomatics_replan,12.5
2025-01-02 11:00:00,trattberget,ws_arome_dayahead,11.198704
2025-01-02 11:00:00,trattberget,ws_meteomatics_dayahead,11.4
2025-01-02 12:00:00,trattberget,ws_arome_replan,12.23486
2025-01-02 12:00:00,trattberget,ws_meteomatics_replan,12.5
2025-01-02 12:00:00,trattberget,ws_arome_dayahead,10.745981
2025-01-02 12:00:00,trattberget,ws_meteomatics_dayahead,10.8
2025-01-02 13:00:00,trattberget,ws_arome_replan,13.942091
2025-01-02 13:00:00,trattberget,ws_meteomatics_replan,13.0
2025-01-02 13:00:00,trattberget,ws_arome_dayahead,11.188919
2025-01-02 13:00:00,trattberget,ws_meteomatics_dayahead,11.1
