"time","forecast"," "
2025-01-04 00:00:00,dayahead,191.73929
2025-01-04 00:00:00,replan,150.20558
2025-01-04 01:00:00,dayahead,199.06511
2025-01-04 01:00:00,replan,172.3108
2025-01-04 02:00:00,dayahead,189.57158
2025-01-04 02:00:00,replan,192.25778
2025-01-04 03:00:00,dayahead,191.67259
2025-01-04 03:00:00,replan,190.46616
2025-01-04 04:00:00,dayahead,186.53569
2025-01-04 04:00:00,replan,172.72531
2025-01-04 05:00:00,dayahead,187.85844
2025-01-04 05:00:00,replan,163.86058
2025-01-04 06:00:00,dayahead,171.37474
2025-01-04 06:00:00,replan,161.93584
2025-01-04 07:00:00,dayahead,54.496227
2025-01-04 07:00:00,replan,156.62518
2025-01-04 08:00:00,dayahead,80.04409
2025-01-04 08:00:00,replan,139.06763
2025-01-04 09:00:00,dayahead,81.30287
2025-01-04 09:00:00,replan,126.48215
2025-01-04 10:00:00,dayahead,22.52747
2025-01-04 10:00:00,replan,83.47739
2025-01-04 11:00:00,dayahead,62.247063
2025-01-04 11:00:00,replan,97.291
2025-01-04 12:00:00,dayahead,68.27072
2025-01-04 12:00:00,replan,59.238865
2025-01-04 13:00:00,dayahead,58.82459
2025-01-04 13:00:00,replan,48.6195
2025-01-04 14:00:00,dayahead,49.36514
2025-01-04 14:00:00,replan,63.03766
2025-01-04 15:00:00,dayahead,62.029705
2025-01-04 15:00:00,replan,82.089005
2025-01-04 16:00:00,dayahead,63.910316
2025-01-04 16:00:00,replan,72.80238
2025-01-04 17:00:00,dayahead,56.300457
2025-01-04 17:00:00,replan,63.696846
2025-01-04 18:00:00,dayahead,43.70153
2025-01-04 18:00:00,replan,63.1638
2025-01-04 19:00:00,dayahead,43.003445
2025-01-04 19:00:00,replan,72.21699
2025-01-04 20:00:00,dayahead,46.183598
2025-01-04 20:00:00,replan,96.12981
2025-01-04 21:00:00,dayahead,51.087322
2025-01-04 21:00:00,replan,89.83111
2025-01-04 22:00:00,dayahead,70.84964
2025-01-04 22:00:00,replan,109.04601
2025-01-04 23:00:00,dayahead,51.657753
2025-01-04 23:00:00,replan,58.369293
2025-01-05 00:00:00,dayahead,76.63705
2025-01-05 00:00:00,replan,97.1957
2025-01-05 01:00:00,dayahead,89.310844
2025-01-05 01:00:00,replan,99.983444
2025-01-05 02:00:00,dayahead,99.363594
2025-01-05 02:00:00,replan,97.83689
2025-01-05 03:00:00,dayahead,96.37941
2025-01-05 03:00:00,replan,92.58749
2025-01-05 04:00:00,dayahead,72.23552
2025-01-05 05:00:00,dayahead,62.103558
2025-01-05 05:00:00,replan,89.48981
2025-01-05 06:00:00,dayahead,30.35167
2025-01-05 06:00:00,replan,97.762505
2025-01-05 07:00:00,dayahead,24.6246
2025-01-05 07:00:00,replan,48.49157
2025-01-05 08:00:00,dayahead,23.278152
2025-01-05 08:00:00,replan,56.559063
2025-01-05 09:00:00,dayahead,32.14467
2025-01-05 09:00:00,replan,87.67607
