"time","label","value"
2025-01-01 15:00:00,ws_meteomatics_dayahead,3.1
2025-01-01 16:00:00,ws_arome_replan,4.346197
2025-01-01 16:00:00,ws_dnmi_replan,2.5
2025-01-01 16:00:00,ws_meteomatics_replan,3.8
2025-01-01 16:00:00,ws_arome_dayahead,4.328239
2025-01-01 16:00:00,ws_dnmi_dayahead,1.2
2025-01-01 16:00:00,ws_meteomatics_dayahead,4.2
2025-01-01 17:00:00,ws_arome_replan,4.454035
2025-01-01 17:00:00,ws_dnmi_replan,2.8
2025-01-01 17:00:00,ws_meteomatics_replan,4.4
2025-01-01 17:00:00,ws_arome_dayahead,4.1969767
2025-01-01 17:00:00,ws_dnmi_dayahead,1.9
2025-01-01 17:00:00,ws_meteomatics_dayahead,4.5
2025-01-01 18:00:00,ws_arome_replan,5.0424657
2025-01-01 18:00:00,ws_dnmi_replan,3.1
2025-01-01 18:00:00,ws_meteomatics_replan,3.1
2025-01-01 18:00:00,ws_arome_dayahead,1.0066139
2025-01-01 18:00:00,ws_dnmi_dayahead,2.6
2025-01-01 18:00:00,ws_meteomatics_dayahead,4.9
2025-01-01 19:00:00,ws_arome_replan,4.4478908
2025-01-01 19:00:00,ws_dnmi_replan,2.6
2025-01-01 19:00:00,ws_meteomatics_replan,4.6
2025-01-01 19:00:00,ws_arome_dayahead,3.9024415
2025-01-01 19:00:00,ws_dnmi_dayahead,2.4
2025-01-01 19:00:00,ws_meteomatics_dayahead,5.4
2025-01-01 20:00:00,ws_arome_replan,8.374765
2025-01-01 20:00:00,ws_dnmi_replan,2.2
2025-01-01 20:00:00,ws_meteomatics_replan,5.0
2025-01-01 20:00:00,ws_arome_dayahead,2.891412
2025-01-01 20:00:00,ws_dnmi_dayahead,2.2
2025-01-01 20:00:00,ws_meteomatics_dayahead,5.4
2025-01-01 21:00:00,ws_arome_replan,7.738207
2025-01-01 21:00:00,ws_dnmi_replan,1.9
2025-01-01 21:00:00,ws_meteomatics_replan,4.4
2025-01-01 21:00:00,ws_arome_dayahead,4.8971972
2025-01-01 21:00:00,ws_dnmi_dayahead,2.0
2025-01-01 21:00:00,ws_meteomatics_dayahead,4.1
2025-01-01 22:00:00,ws_arome_replan,11.318439
2025-01-01 22:00:00,ws_dnmi_replan,2.9
2025-01-01 22:00:00,ws_meteomatics_replan,5.5
2025-01-01 22:00:00,ws_arome_dayahead,6.0021534
2025-01-01 22:00:00,ws_dnmi_dayahead,2.5
2025-01-01 22:00:00,ws_meteomatics_dayahead,4.4
2025-01-01 23:00:00,ws_arome_replan,7.336599
2025-01-01 23:00:00,ws_dnmi_replan,3.9
2025-01-01 23:00:00,ws_meteomatics_replan,6.1
2025-01-01 23:00:00,ws_arome_dayahead,9.953213
2025-01-01 23:00:00,ws_dnmi_dayahead,3.8
2025-01-01 23:00:00,ws_meteomatics_dayahead,6.1
2025-01-02 00:00:00,ws_arome_replan,9.133505
2025-01-02 00:00:00,ws_dnmi_replan,4.8
2025-01-02 00:00:00,ws_meteomatics_replan,8.0
2025-01-02 00:00:00,ws_arome_dayahead,6.9942985
2025-01-02 00:00:00,ws_dnmi_dayahead,5.0
2025-01-02 00:00:00,ws_meteomatics_dayahead,7.8
2025-01-02 01:00:00,ws_arome_replan,10.346768
2025-01-02 01:00:00,ws_dnmi_replan,5.3
2025-01-02 01:00:00,ws_meteomatics_replan,9.7
2025-01-02 01:00:00,ws_arome_dayahead,11.655143
2025-01-02 01:00:00,ws_dnmi_dayahead,5.6
2025-01-02 01:00:00,ws_meteomatics_dayahead,8.6
2025-01-02 02:00:00,ws_arome_replan,16.830387
2025-01-02 02:00:00,ws_dnmi_replan,5.8
2025-01-02 02:00:00,ws_meteomatics_replan,9.5
2025-01-02 02:00:00,ws_arome_dayahead,16.039595
2025-01-02 02:00:00,ws_dnmi_dayahead,6.2
2025-01-02 02:00:00,ws_meteomatics_dayahead,7.6
2025-01-02 03:00:00,ws_arome_replan,15.896012
2025-01-02 03:00:00,ws_dnmi_replan,6.3
2025-01-02 03:00:00,ws_meteomatics_replan,9.7
2025-01-02 03:00:00,ws_arome_dayahead,15.414661
2025-01-02 03:00:00,ws_dnmi_dayahead,6.7
2025-01-02 03:00:00,ws_meteomatics_dayahead,9.7
