"time","forecast"," "
2025-01-03 15:00:00,replan,97.445274
2025-01-03 16:00:00,dayahead,57.963253
2025-01-03 16:00:00,replan,102.49691
2025-01-03 17:00:00,dayahead,64.349785
2025-01-03 17:00:00,replan,114.17342
2025-01-03 18:00:00,dayahead,66.50218
2025-01-03 18:00:00,replan,94.08215
2025-01-03 19:00:00,dayahead,67.39242
2025-01-03 19:00:00,replan,85.88703
2025-01-03 20:00:00,dayahead,77.46604
2025-01-03 20:00:00,replan,97.43015
2025-01-03 21:00:00,dayahead,69.959305
2025-01-03 21:00:00,replan,101.5115
2025-01-03 22:00:00,dayahead,89.207664
2025-01-03 22:00:00,replan,100.95658
2025-01-03 23:00:00,dayahead,130.79317
2025-01-03 23:00:00,replan,125.30084
2025-01-04 00:00:00,dayahead,117.970375
2025-01-04 00:00:00,replan,125.26026
2025-01-04 01:00:00,dayahead,116.61006
2025-01-04 01:00:00,replan,97.08966
2025-01-04 02:00:00,dayahead,125.637924
2025-01-04 02:00:00,replan,101.39773
2025-01-04 03:00:00,dayahead,121.58902
2025-01-04 03:00:00,replan,93.136116
2025-01-04 04:00:00,dayahead,113.85002
2025-01-04 04:00:00,replan,111.34088
2025-01-04 05:00:00,dayahead,104.25371
2025-01-04 05:00:00,replan,121.07132
2025-01-04 06:00:00,dayahead,115.35724
2025-01-04 06:00:00,replan,125.21227
2025-01-04 07:00:00,dayahead,114.82724
2025-01-04 07:00:00,replan,109.318504
2025-01-04 08:00:00,dayahead,109.887695
2025-01-04 08:00:00,replan,128.30754
2025-01-04 09:00:00,dayahead,113.5519
2025-01-04 09:00:00,replan,131.47427
2025-01-04 10:00:00,dayahead,103.06164
2025-01-04 10:00:00,replan,114.435356
2025-01-04 11:00:00,dayahead,98.22884
2025-01-04 11:00:00,replan,110.84493
2025-01-04 12:00:00,dayahead,92.39443
2025-01-04 12:00:00,replan,122.75214
2025-01-04 13:00:00,dayahead,92.30602
2025-01-04 13:00:00,replan,123.90757
2025-01-04 14:00:00,dayahead,97.77526
2025-01-04 14:00:00,replan,120.53674
2025-01-04 15:00:00,dayahead,111.18217
2025-01-04 15:00:00,replan,122.46039
2025-01-04 16:00:00,dayahead,103.90381
2025-01-04 16:00:00,replan,110.50762
2025-01-04 17:00:00,dayahead,93.362335
2025-01-04 17:00:00,replan,104.9901
2025-01-04 18:00:00,dayahead,87.73792
2025-01-04 18:00:00,replan,85.21866
2025-01-04 19:00:00,dayahead,81.85282
2025-01-04 19:00:00,replan,80.3231
