price_area,spot_median,spot_std,reg_median,reg_std
SE3,39.38,50.13958681712506,40.0,278.22842386648057
SE2,5.38,29.225850105660477,2.67,103.0548851651448
NO3,13.43,29.315982453155232,11.75,45.96111536986059
