park,median,mean,stdev,diff_median,diff_mean,diff_stdev
klevberget,1540.6219682620504,-587.4862688818276,24336.570958313714,-6931.534046752498,-11421.785596513408,25520.637193718772
maalarberget,41897.59534207,46253.60533322362,57162.76627370987,-31209.49124635,-29374.985490460585,85171.25788163785
roan,50773.118601199996,67193.75924038047,80151.0812696644,18719.123501199996,43501.32860485416,87789.18736571395
trattberget,8291.240523345,16295.903558749751,28016.25965279535,-1293.7463206824982,8202.84188769712,30899.443795950985
lyckaas,12200.508803699999,8866.390016118354,31002.193345064465,-23877.124694949987,-27891.290883881644,42784.551512582366
frøya,4925.437696250001,7710.74007590679,7680.044050995964,-878.2134516899987,1873.5870443278427,9452.393393977061
total,110479.53944851598,145732.91195549717,170084.79801886273,-46673.26449172001,-15110.30443397652,215173.51130830628
