park,dayahead_median,prod_median,diff_median,dayahead_std,prod_std,diff_std
frøya,558.1999999999999,641.7349999999999,-15.909999999999854,391.78286576733325,377.5168287029468,132.25828513097395
klevberget,826.0,811.37,16.60500000000016,863.006623464192,846.2189305025598,467.8709913023258
lyckaas,475.80000000000007,411.04499999999996,-40.55500000000018,357.8157960618248,347.76053057404096,107.9750584552155
maalarberget,1106.95,941.8349999999999,-48.29499999999996,698.0520880878906,632.4182508287001,304.97329991187956
roan,2569.3600000000006,2500.86,-108.42999999999995,1687.9847490459758,1641.703616737639,854.3248975755497
trattberget,761.2,765.5550000000001,-30.83499999999995,433.69650005741323,411.1167977905476,246.6902480515307
