time,park,series,value
2025-01-02 10:00:00,frøya,dayahead_reported,54.7
2025-01-02 11:00:00,frøya,measured_avl,58.8
2025-01-02 11:00:00,frøya,prod,57.315
2025-01-02 11:00:00,frøya,dayahead_reported,54.8
2025-01-02 12:00:00,frøya,measured_avl,57.919235
2025-01-02 12:00:00,frøya,prod,56.7
2025-01-02 12:00:00,frøya,dayahead_reported,54.9
2025-01-02 13:00:00,frøya,measured_avl,58.08827
2025-01-02 13:00:00,frøya,prod,56.781
2025-01-02 13:00:00,frøya,dayahead_reported,55.0
2025-01-02 14:00:00,frøya,measured_avl,58.193954
2025-01-02 14:00:00,frøya,prod,57.124
2025-01-02 14:00:00,frøya,dayahead_reported,54.6
2025-01-02 15:00:00,frøya,measured_avl,58.4724
2025-01-02 15:00:00,frøya,prod,57.276
2025-01-02 15:00:00,frøya,dayahead_reported,54.0
2025-01-02 16:00:00,frøya,measured_avl,58.8
2025-01-02 16:00:00,frøya,prod,57.486
2025-01-02 16:00:00,frøya,dayahead_reported,53.7
2025-01-02 17:00:00,frøya,measured_avl,58.8
2025-01-02 17:00:00,frøya,prod,57.491
2025-01-02 17:00:00,frøya,dayahead_reported,53.6
2025-01-02 18:00:00,frøya,measured_avl,58.235332
2025-01-02 18:00:00,frøya,prod,55.945
2025-01-02 18:00:00,frøya,dayahead_reported,52.9
2025-01-02 19:00:00,frøya,measured_avl,58.8
2025-01-02 19:00:00,frøya,prod,56.876
2025-01-02 19:00:00,frøya,dayahead_reported,49.8
2025-01-02 20:00:00,frøya,measured_avl,58.8
2025-01-02 20:00:00,frøya,prod,57.484
2025-01-02 20:00:00,frøya,dayahead_reported,44.6
2025-01-02 21:00:00,frøya,measured_avl,55.899117
2025-01-02 21:00:00,frøya,prod,54.595
2025-01-02 21:00:00,frøya,dayahead_reported,50.0
2025-01-02 22:00:00,frøya,measured_avl,58.241714
2025-01-02 22:00:00,frøya,prod,56.758
2025-01-02 22:00:00,frøya,dayahead_reported,52.6
2025-01-02 23:00:00,frøya,measured_avl,58.8
2025-01-02 23:00:00,frøya,prod,56.189
2025-01-02 23:00:00,frøya,dayahead_reported,54.6
2025-01-03 00:00:00,frøya,measured_avl,57.734783
2025-01-03 00:00:00,frøya,prod,48.172
2025-01-03 00:00:00,frøya,dayahead_reported,55.5
2025-01-03 01:00:00,frøya,measured_avl,55.4225
2025-01-03 01:00:00,frøya,prod,39.726
2025-01-03 01:00:00,frøya,dayahead_reported,55.5
2025-01-03 02:00:00,frøya,measured_avl,55.834335
2025-01-03 02:00:00,frøya,prod,53.063
2025-01-03 02:00:00,frøya,dayahead_reported,55.9
2025-01-03 03:00:00,frøya,measured_avl,58.8
2025-01-03 03:00:00,frøya,prod,57.7
2025-01-03 03:00:00,frøya,dayahead_reported,55.2
2025-01-03 04:00:00,frøya,measured_avl,58.8
2025-01-03 04:00:00,frøya,prod,57.536
2025-01-03 04:00:00,frøya,dayahead_reported,55.0
2025-01-03 05:00:00,frøya,measured_avl,58.8
2025-01-03 05:00:00,frøya,prod,57.283
2025-01-03 05:00:00,frøya,dayahead_reported,55.6
2025-01-03 06:00:00,frøya,measured_avl,58.8
2025-01-03 06:00:00,frøya,prod,37.474
2025-01-03 06:00:00,frøya,dayahead_reported,55.0
2025-01-03 07:00:00,frøya,measured_avl,58.8
2025-01-03 07:00:00,frøya,prod,24.779
2025-01-03 07:00:00,frøya,dayahead_reported,53.2
2025-01-03 08:00:00,frøya,measured_avl,58.6362
2025-01-03 08:00:00,frøya,prod,5.801
2025-01-03 08:00:00,frøya,dayahead_reported,47.9
2025-01-03 09:00:00,frøya,measured_avl,58.8
2025-01-03 09:00:00,frøya,prod,-0.454
2025-01-03 09:00:00,frøya,dayahead_reported,26.7
2025-01-03 10:00:00,frøya,measured_avl,58.8
2025-01-03 10:00:00,frøya,prod,0.963
2025-01-03 10:00:00,frøya,dayahead_reported,5.2
2025-01-03 11:00:00,frøya,measured_avl,58.8
2025-01-03 11:00:00,frøya,prod,17.736
2025-01-03 11:00:00,frøya,dayahead_reported,5.1
2025-01-03 12:00:00,frøya,measured_avl,58.8
2025-01-03 12:00:00,frøya,prod,32.594
2025-01-03 12:00:00,frøya,dayahead_reported,3.3
2025-01-03 13:00:00,frøya,measured_avl,58.8
2025-01-03 13:00:00,frøya,prod,48.992
2025-01-03 13:00:00,frøya,dayahead_reported,4.3
2025-01-03 14:00:00,frøya,measured_avl,58.8
2025-01-03 14:00:00,frøya,prod,54.117
2025-01-03 14:00:00,frøya,dayahead_reported,7.4
2025-01-03 15:00:00,frøya,measured_avl,58.8
2025-01-03 15:00:00,frøya,prod,47.166
2025-01-03 15:00:00,frøya,dayahead_reported,8.5
2025-01-03 16:00:00,frøya,measured_avl,58.8
2025-01-03 16:00:00,frøya,prod,41.943
2025-01-03 16:00:00,frøya,dayahead_reported,19.2
2025-01-03 17:00:00,frøya,measured_avl,58.8
2025-01-03 17:00:00,frøya,prod,38.509
2025-01-03 17:00:00,frøya,dayahead_reported,35.2
2025-01-03 18:00:00,frøya,measured_avl,58.8
2025-01-03 18:00:00,frøya,prod,38.047
2025-01-03 18:00:00,frøya,dayahead_reported,42.2
2025-01-03 19:00:00,frøya,measured_avl,58.0965
2025-01-03 19:00:00,frøya,prod,32.704
2025-01-03 19:00:00,frøya,dayahead_reported,44.9
2025-01-03 20:00:00,frøya,measured_avl,58.8
2025-01-03 20:00:00,frøya,prod,27.897
2025-01-03 20:00:00,frøya,dayahead_reported,47.4
2025-01-03 21:00:00,frøya,measured_avl,58.384666
2025-01-03 21:00:00,frøya,prod,56.406
2025-01-03 21:00:00,frøya,dayahead_reported,46.5
2025-01-03 22:00:00,frøya,measured_avl,58.8
2025-01-03 22:00:00,frøya,prod,55.491
2025-01-03 22:00:00,frøya,dayahead_reported,49.8
2025-01-03 23:00:00,frøya,measured_avl,58.8
2025-01-03 23:00:00,frøya,prod,56.721
2025-01-03 23:00:00,frøya,dayahead_reported,50.1
2025-01-04 00:00:00,frøya,measured_avl,58.8
2025-01-04 00:00:00,frøya,prod,51.772
2025-01-04 00:00:00,frøya,dayahead_reported,52.2
2025-01-04 01:00:00,frøya,measured_avl,58.8
2025-01-04 01:00:00,frøya,prod,56.483
2025-01-04 01:00:00,frøya,dayahead_reported,53.2
2025-01-04 02:00:00,frøya,measured_avl,58.137333
2025-01-04 02:00:00,frøya,prod,53.952
2025-01-04 02:00:00,frøya,dayahead_reported,53.7
2025-01-04 03:00:00,frøya,measured_avl,58.8
2025-01-04 03:00:00,frøya,prod,54.574
2025-01-04 03:00:00,frøya,dayahead_reported,53.7
2025-01-04 04:00:00,frøya,measured_avl,58.8
2025-01-04 04:00:00,frøya,prod,56.137
2025-01-04 04:00:00,frøya,dayahead_reported,54.0
2025-01-04 05:00:00,frøya,measured_avl,58.8
2025-01-04 05:00:00,frøya,prod,54.344
2025-01-04 05:00:00,frøya,dayahead_reported,54.1
2025-01-04 06:00:00,frøya,measured_avl,58.8
2025-01-04 06:00:00,frøya,prod,57.053
2025-01-04 06:00:00,frøya,dayahead_reported,53.1
2025-01-04 07:00:00,frøya,measured_avl,58.8
2025-01-04 07:00:00,frøya,prod,53.626
2025-01-04 07:00:00,frøya,dayahead_reported,53.7
2025-01-04 08:00:00,frøya,measured_avl,58.8
2025-01-04 08:00:00,frøya,prod,53.492
2025-01-04 08:00:00,frøya,dayahead_reported,51.6
2025-01-04 09:00:00,frøya,measured_avl,58.8
2025-01-04 09:00:00,frøya,prod,50.532
2025-01-04 09:00:00,frøya,dayahead_reported,49.1
2025-01-04 10:00:00,frøya,measured_avl,58.8
2025-01-04 10:00:00,frøya,prod,48.816
2025-01-04 10:00:00,frøya,dayahead_reported,44.2
2025-01-04 11:00:00,frøya,measured_avl,58.8
2025-01-04 11:00:00,frøya,prod,54.37
2025-01-04 11:00:00,frøya,dayahead_reported,38.6
2025-01-04 12:00:00,frøya,measured_avl,58.8
2025-01-04 12:00:00,frøya,prod,37.668
2025-01-04 12:00:00,frøya,dayahead_reported,37.1
2025-01-04 13:00:00,frøya,measured_avl,58.8
2025-01-04 13:00:00,frøya,prod,31.66
2025-01-04 13:00:00,frøya,dayahead_reported,34.3
2025-01-04 14:00:00,frøya,measured_avl,58.8
2025-01-04 14:00:00,frøya,prod,30.967
2025-01-04 14:00:00,frøya,dayahead_reported,33.1
2025-01-04 15:00:00,frøya,measured_avl,58.18283
2025-01-04 15:00:00,frøya,prod,47.675
2025-01-04 15:00:00,frøya,dayahead_reported,31.9
2025-01-04 16:00:00,frøya,measured_avl,58.8
2025-01-04 16:00:00,frøya,prod,38.326
2025-01-04 16:00:00,frøya,dayahead_reported,36.1
2025-01-04 17:00:00,frøya,measured_avl,58.8
2025-01-04 17:00:00,frøya,prod,18.679
2025-01-04 17:00:00,frøya,dayahead_reported,30.9
2025-01-04 18:00:00,frøya,measured_avl,58.8
2025-01-04 18:00:00,frøya,prod,42.97
2025-01-04 18:00:00,frøya,dayahead_reported,31.4
2025-01-04 19:00:00,frøya,measured_avl,58.8
2025-01-04 19:00:00,frøya,prod,35.855
2025-01-04 19:00:00,frøya,dayahead_reported,34.4
2025-01-04 20:00:00,frøya,measured_avl,58.7286
2025-01-04 20:00:00,frøya,prod,37.131
2025-01-04 20:00:00,frøya,dayahead_reported,33.6
2025-01-04 21:00:00,frøya,measured_avl,58.8
2025-01-04 21:00:00,frøya,prod,36.723
2025-01-04 21:00:00,frøya,dayahead_reported,36.3
2025-01-04 22:00:00,frøya,measured_avl,58.8
2025-01-04 22:00:00,frøya,prod,40.446
2025-01-04 22:00:00,frøya,dayahead_reported,34.8
2025-01-04 23:00:00,frøya,measured_avl,58.8
2025-01-04 23:00:00,frøya,prod,48.85
2025-01-04 23:00:00,frøya,dayahead_reported,36.0
2025-01-05 00:00:00,frøya,measured_avl,58.8
2025-01-05 00:00:00,frøya,prod,46.116
2025-01-05 00:00:00,frøya,dayahead_reported,36.3
2025-01-05 01:00:00,frøya,measured_avl,58.8
2025-01-05 01:00:00,frøya,prod,55.606
2025-01-05 01:00:00,frøya,dayahead_reported,36.6
2025-01-05 02:00:00,frøya,measured_avl,58.8
2025-01-05 02:00:00,frøya,prod,54.321
2025-01-05 02:00:00,frøya,dayahead_reported,34.7
2025-01-05 03:00:00,frøya,measured_avl,58.8
2025-01-05 03:00:00,frøya,prod,53.612
2025-01-05 03:00:00,frøya,dayahead_reported,32.0
2025-01-05 04:00:00,frøya,measured_avl,58.8
2025-01-05 04:00:00,frøya,prod,42.979
2025-01-05 04:00:00,frøya,dayahead_reported,28.9
2025-01-05 05:00:00,frøya,measured_avl,58.8
2025-01-05 05:00:00,frøya,prod,39.635
2025-01-05 05:00:00,frøya,dayahead_reported,25.9
2025-01-05 06:00:00,frøya,measured_avl,58.8
2025-01-05 06:00:00,frøya,prod,18.844
2025-01-05 06:00:00,frøya,dayahead_reported,25.6
2025-01-05 07:00:00,frøya,measured_avl,58.8
2025-01-05 07:00:00,frøya,prod,29.522
2025-01-05 07:00:00,frøya,dayahead_reported,20.9
2025-01-05 08:00:00,frøya,measured_avl,58.8
2025-01-05 08:00:00,frøya,prod,40.286
2025-01-05 08:00:00,frøya,dayahead_reported,22.1
2025-01-05 09:00:00,frøya,measured_avl,58.8
2025-01-05 09:00:00,frøya,prod,50.647
2025-01-05 09:00:00,frøya,dayahead_reported,24.1
2025-01-05 10:00:00,frøya,measured_avl,58.8
2025-01-05 10:00:00,frøya,prod,48.574
2025-01-05 10:00:00,frøya,dayahead_reported,21.1
2025-01-05 11:00:00,frøya,measured_avl,58.8
2025-01-05 11:00:00,frøya,prod,28.066
2025-01-05 11:00:00,frøya,dayahead_reported,17.2
2025-01-05 12:00:00,frøya,measured_avl,58.8
2025-01-05 12:00:00,frøya,prod,8.454
2025-01-05 12:00:00,frøya,dayahead_reported,13.4
2025-01-05 13:00:00,frøya,measured_avl,58.8
2025-01-05 13:00:00,frøya,prod,8.387
2025-01-05 13:00:00,frøya,dayahead_reported,9.2
2025-01-05 14:00:00,frøya,measured_avl,58.8
2025-01-05 14:00:00,frøya,prod,3.479
2025-01-05 14:00:00,frøya,dayahead_reported,5.4
2025-01-05 15:00:00,frøya,measured_avl,58.8
2025-01-05 15:00:00,frøya,prod,-0.299
2025-01-05 15:00:00,frøya,dayahead_reported,3.5
2025-01-05 16:00:00,frøya,measured_avl,58.8
2025-01-05 16:00:00,frøya,prod,1.243
